ExperimentKey,TransfectionDate,PlateNum,CloneKey,Odor1K,Odor2K,Odor3K,Odor4K,Odor5K,Odor1C,Odor2C,Odor3C,Odor4C,Odor5C,PlateLocation,LucData,RLData,Notes,384Location,LabNoteBook,TransfectionType,CellType
392840,11-Jan-17,1.00,999.00,77.00,1191.00,,,,0.00,0.00,,,,F4,2560.00,5405.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392841,11-Jan-17,1.00,999.00,77.00,882.00,,,,0.00,0.00,,,,G4,1674.00,5518.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392842,11-Jan-17,1.00,999.00,77.00,1192.00,,,,0.00,0.00,,,,H4,3425.00,5446.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392843,11-Jan-17,1.00,999.00,77.00,883.00,,,,0.00,0.00,,,,I4,2671.00,5250.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392844,11-Jan-17,1.00,999.00,77.00,811.00,,,,0.00,0.00,,,,J4,4037.00,5057.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag alone,E Cells
392845,11-Jan-17,1.00,999.00,77.00,884.00,,,,0.00,0.00,,,,K4,2527.00,5244.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392846,11-Jan-17,1.00,999.00,77.00,1194.00,,,,0.00,0.00,,,,L4,3264.00,4417.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392847,11-Jan-17,1.00,999.00,77.00,885.00,,,,0.00,0.00,,,,M4,2990.00,4780.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392848,11-Jan-17,1.00,999.00,77.00,1195.00,,,,0.00,0.00,,,,N4,3559.00,4882.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392849,11-Jan-17,1.00,999.00,77.00,886.00,,,,0.00,0.00,,,,O4,3101.00,4545.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392850,11-Jan-17,1.00,999.00,77.00,1196.00,,,,0.00,0.00,,,,P4,2959.00,4093.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392851,11-Jan-17,1.00,5855.00,1.00,811.00,,,,0.00,0.00,,,,A5,1765.00,9521.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,S6 control,E Cells
