Plate,plateLocation,Luc,RL,cellType,CloneKey,agonistInStockKey,antagInStockKey,experimentType,concentration_ag,concentration_antag,
4,O8,1283,988,H3A,830,817,840,antagScreen,5.00E-04,3.00E-05,
4,P8,906,955,H3A,830,817,1156,antagScreen,5.00E-04,3.00E-05,
4,A9,476,1546,H3A,5855,811,,control,1.00E-10,,
4,B9,1647,1257,H3A,830,817,1249,antagScreen,5.00E-04,3.00E-05,
4,C9,1480,1274,H3A,830,817,936,antagScreen,5.00E-04,3.00E-05,
4,D9,1328,1173,H3A,830,817,1250,antagScreen,5.00E-04,3.00E-05,
4,E9,1260,1161,H3A,830,817,937,antagScreen,5.00E-04,3.00E-05,
4,F9,1453,1110,H3A,830,817,1251,antagScreen,5.00E-04,3.00E-05,
4,G9,1332,1147,H3A,830,817,938,antagScreen,5.00E-04,3.00E-05,
4,H9,1335,1088,H3A,830,817,1252,antagScreen,5.00E-04,3.00E-05,
4,I9,1444,1101,H3A,830,817,939,antagScreen,5.00E-04,3.00E-05,
4,J9,1403,991,H3A,830,817,1253,antagScreen,5.00E-04,3.00E-05,
4,K9,1338,970,H3A,830,817,940,antagScreen,5.00E-04,3.00E-05,
4,L9,1562,1016,H3A,830,817,1254,antagScreen,5.00E-04,3.00E-05,
4,M9,1305,1011,H3A,830,817,941,antagScreen,5.00E-04,3.00E-05,
4,N9,1319,938,H3A,830,817,1255,antagScreen,5.00E-04,3.00E-05,
4,O9,1631,1014,H3A,830,817,942,antagScreen,5.00E-04,3.00E-05,
4,P9,1576,937,H3A,830,817,1256,antagScreen,5.00E-04,3.00E-05,
4,A10,692,759,H3A,5855,811,,control,1.00E-10,,
4,B10,504,1315,H3A,830,817,0,DR,1.00E-10,,
4,C10,528,1358,H3A,830,817,0,DR,1.00E-10,,
4,D10,445,1361,H3A,830,817,0,DR,1.88E-09,,
4,E10,494,1227,H3A,830,817,0,DR,5.65E-09,,
4,F10,599,1204,H3A,830,817,0,DR,1.69E-08,,
4,G10,561,1000,H3A,830,817,0,DR,5.08E-08,,
4,H10,535,1099,H3A,830,817,0,DR,1.52E-07,,
4,I10,543,1118,H3A,830,817,0,DR,4.57E-07,,
4,J10,585,1013,H3A,830,817,0,DR,1.37E-06,,
4,K10,595,1063,H3A,830,817,0,DR,4.12E-06,,
4,L10,845,974,H3A,830,817,0,DR,3.70E-05,,
4,M10,694,1038,H3A,830,817,0,DR,1.23E-05,,
4,N10,981,828,H3A,830,817,0,DR,0.000111111,,
4,O10,1137,823,H3A,830,817,0,DR,0.000333333,,
4,P10,1381,938,H3A,830,817,0,DR,0.001,,
4,A11,978,1049,H3A,5855,811,,control,1.00E-10,,
4,B11,578,1528,H3A,830,817,0,DR,1.00E-10,,
4,C11,542,1595,H3A,830,817,0,DR,1.00E-10,,
4,D11,742,1380,H3A,830,817,0,DR,1.88E-09,,
4,E11,581,1265,H3A,830,817,0,DR,5.65E-09,,
4,F11,530,1314,H3A,830,817,0,DR,1.69E-08,,
4,G11,528,1137,H3A,830,817,0,DR,5.08E-08,,
4,H11,530,1209,H3A,830,817,0,DR,1.52E-07,,
4,I11,634,1246,H3A,830,817,0,DR,4.57E-07,,
4,J11,559,1131,H3A,830,817,0,DR,1.37E-06,,
4,K11,685,1020,H3A,830,817,0,DR,4.12E-06,,
4,L11,917,1094,H3A,830,817,0,DR,3.70E-05,,
4,M11,984,1033,H3A,830,817,0,DR,1.23E-05,,
4,N11,1291,969,H3A,830,817,0,DR,0.000111111,,
4,O11,1743,995,H3A,830,817,0,DR,0.000333333,,
4,P11,1600,978,H3A,830,817,0,DR,0.001,,
4,A12,950,899,H3A,5855,811,,control,1.00E-10,,
4,B12,922,1622,H3A,830,817,0,DR,1.00E-10,,
4,C12,676,1460,H3A,830,817,0,DR,1.00E-10,,
4,D12,588,1292,H3A,830,817,0,DR,1.88E-09,,
4,E12,618,1272,H3A,830,817,0,DR,5.65E-09,,
4,F12,503,1149,H3A,830,817,0,DR,1.69E-08,,
4,G12,504,1385,H3A,830,817,0,DR,5.08E-08,,
4,H12,592,1075,H3A,830,817,0,DR,1.52E-07,,
4,I12,519,1026,H3A,830,817,0,DR,4.57E-07,,
4,J12,504,1067,H3A,830,817,0,DR,1.37E-06,,
4,K12,621,1087,H3A,830,817,0,DR,4.12E-06,,
4,L12,892,1029,H3A,830,817,0,DR,3.70E-05,,
4,M12,724,1013,H3A,830,817,0,DR,1.23E-05,,
4,N12,1054,1029,H3A,830,817,0,DR,0.000111111,,
4,O12,1159,940,H3A,830,817,0,DR,0.000333333,,
4,P12,1168,1028,H3A,830,817,0,DR,0.001,,
4,A13,1909,3050,H3A,830,817,,control,1.00E-10,,
4,B13,1241,1523,H3A,830,817,1157,antagScreen,5.00E-04,3.00E-05,
4,C13,1623,1455,H3A,830,817,842,antagScreen,5.00E-04,3.00E-05,
4,D13,1264,1225,H3A,830,817,1158,antagScreen,5.00E-04,3.00E-05,
4,E13,1255,1347,H3A,830,817,843,antagScreen,5.00E-04,3.00E-05,
4,F13,1146,1220,H3A,830,817,1159,antagScreen,5.00E-04,3.00E-05,
4,G13,1445,1103,H3A,830,817,844,antagScreen,5.00E-04,3.00E-05,
4,H13,1444,1115,H3A,830,817,1160,antagScreen,5.00E-04,3.00E-05,
4,I13,1277,974,H3A,830,817,845,antagScreen,5.00E-04,3.00E-05,
4,J13,1394,1161,H3A,830,817,1161,antagScreen,5.00E-04,3.00E-05,
4,K13,1388,1036,H3A,830,817,846,antagScreen,5.00E-04,3.00E-05,
4,L13,1254,1013,H3A,830,817,1162,antagScreen,5.00E-04,3.00E-05,
4,M13,1505,1160,H3A,830,817,847,antagScreen,5.00E-04,3.00E-05,
4,N13,1433,872,H3A,830,817,1163,antagScreen,5.00E-04,3.00E-05,
4,O13,1429,888,H3A,830,817,848,antagScreen,5.00E-04,3.00E-05,
4,P13,1349,958,H3A,830,817,1164,antagScreen,5.00E-04,3.00E-05,
4,A14,1504,1526,H3A,830,817,,control,5.00E-04,,
4,B14,1379,1289,H3A,830,817,1257,antagScreen,5.00E-04,3.00E-05,
4,C14,1346,1221,H3A,830,817,944,antagScreen,5.00E-04,3.00E-05,
4,D14,1070,1270,H3A,830,817,1258,antagScreen,5.00E-04,3.00E-05,
4,E14,1187,1069,H3A,830,817,945,antagScreen,5.00E-04,3.00E-05,
4,F14,940,1091,H3A,830,817,1259,antagScreen,5.00E-04,3.00E-05,
4,G14,1158,1124,H3A,830,817,946,antagScreen,5.00E-04,3.00E-05,
4,H14,998,1041,H3A,830,817,1260,antagScreen,5.00E-04,3.00E-05,
4,I14,1099,961,H3A,830,817,947,antagScreen,5.00E-04,3.00E-05,
4,J14,1066,946,H3A,830,817,1261,antagScreen,5.00E-04,3.00E-05,
4,K14,1032,998,H3A,830,817,948,antagScreen,5.00E-04,3.00E-05,
4,L14,1031,959,H3A,830,817,1262,antagScreen,5.00E-04,3.00E-05,
4,M14,926,881,H3A,830,817,949,antagScreen,5.00E-04,3.00E-05,
4,N14,1116,851,H3A,830,817,1263,antagScreen,5.00E-04,3.00E-05,
4,O14,1127,903,H3A,830,817,950,antagScreen,5.00E-04,3.00E-05,
4,P14,929,963,H3A,830,817,1264,antagScreen,5.00E-04,3.00E-05,
4,A15,2015,1799,H3A,830,817,,control,5.00E-04,,
4,B15,1813,1402,H3A,830,817,1165,antagScreen,5.00E-04,3.00E-05,
4,C15,1380,1326,H3A,830,817,850,antagScreen,5.00E-04,3.00E-05,
4,D15,1618,1197,H3A,830,817,1166,antagScreen,5.00E-04,3.00E-05,
4,E15,1590,1194,H3A,830,817,851,antagScreen,5.00E-04,3.00E-05,
4,F15,1429,1099,H3A,830,817,1167,antagScreen,5.00E-04,3.00E-05,
4,G15,1575,1189,H3A,830,817,852,antagScreen,5.00E-04,3.00E-05,
4,H15,1290,1236,H3A,830,817,1168,antagScreen,5.00E-04,3.00E-05,
4,I15,1607,1113,H3A,830,817,853,antagScreen,5.00E-04,3.00E-05,
4,J15,1397,1069,H3A,830,817,1169,antagScreen,5.00E-04,3.00E-05,
4,K15,1533,1037,H3A,830,817,854,antagScreen,5.00E-04,3.00E-05,
