Plate,plateLocation,Luc,RL,cellType,CloneKey,agonistInStockKey,antagInStockKey,experimentType,concentration_ag,concentration_antag
3,H11,221,1937,H3A,999,77,0,DR,1.52E-09,
3,I11,212,1760,H3A,999,77,0,DR,4.57E-09,
3,J11,333,1645,H3A,999,77,0,DR,1.37E-08,
3,K11,539,1474,H3A,999,77,0,DR,4.12E-08,
3,L11,2204,1335,H3A,999,77,0,DR,3.70E-07,
3,M11,2996,1195,H3A,999,77,0,DR,1.11E-06,
3,N11,1547,1278,H3A,999,77,0,DR,1.23E-07,
3,O11,3210,1417,H3A,999,77,0,DR,3.33E-06,
3,P11,2222,1128,H3A,999,77,0,DR,0.00001,
3,A12,64,47,H3A,5855,811,,control,1.00E-12,
3,B12,194,2414,H3A,999,77,0,DR,1.00E-12,
3,C12,233,2126,H3A,999,77,0,DR,1.00E-12,
3,D12,223,2208,H3A,999,77,0,DR,1.88E-11,
3,E12,192,2017,H3A,999,77,0,DR,5.65E-11,
3,F12,195,1772,H3A,999,77,0,DR,1.69E-10,
3,G12,193,1973,H3A,999,77,0,DR,5.08E-10,
3,H12,281,1822,H3A,999,77,0,DR,1.52E-09,
3,I12,227,1854,H3A,999,77,0,DR,4.57E-09,
3,J12,300,1518,H3A,999,77,0,DR,1.37E-08,
3,K12,598,1535,H3A,999,77,0,DR,4.12E-08,
3,L12,2317,1361,H3A,999,77,0,DR,3.70E-07,
3,M12,2476,1395,H3A,999,77,0,DR,1.11E-06,
3,N12,1317,1315,H3A,999,77,0,DR,1.23E-07,
3,O12,2926,1167,H3A,999,77,0,DR,3.33E-06,
3,P12,1879,1092,H3A,999,77,0,DR,0.00001,
3,A13,6730,1771,H3A,999,77,,control,1.00E-12,
3,B13,2508,2010,H3A,999,77,1157,antagScreen,1.00E-06,3.00E-05
3,C13,2544,1822,H3A,999,77,842,antagScreen,1.00E-06,3.00E-05
3,D13,2465,1735,H3A,999,77,1158,antagScreen,1.00E-06,3.00E-05
3,E13,2488,1795,H3A,999,77,843,antagScreen,1.00E-06,3.00E-05
3,F13,2205,1497,H3A,999,77,1159,antagScreen,1.00E-06,3.00E-05
3,G13,2518,1640,H3A,999,77,844,antagScreen,1.00E-06,3.00E-05
3,H13,2121,1497,H3A,999,77,1160,antagScreen,1.00E-06,3.00E-05
3,I13,2502,1498,H3A,999,77,845,antagScreen,1.00E-06,3.00E-05
3,J13,2067,1349,H3A,999,77,1161,antagScreen,1.00E-06,3.00E-05
3,K13,2535,1313,H3A,999,77,846,antagScreen,1.00E-06,3.00E-05
3,L13,2545,1295,H3A,999,77,1162,antagScreen,1.00E-06,3.00E-05
3,M13,2553,1314,H3A,999,77,847,antagScreen,1.00E-06,3.00E-05
3,N13,2690,1177,H3A,999,77,1163,antagScreen,1.00E-06,3.00E-05
3,O13,2793,1331,H3A,999,77,848,antagScreen,1.00E-06,3.00E-05
3,P13,2524,1232,H3A,999,77,1164,antagScreen,1.00E-06,3.00E-05
3,A14,3408,2263,H3A,999,77,,control,1.00E-06,
3,B14,2899,1851,H3A,999,77,1257,antagScreen,1.00E-06,3.00E-05
3,C14,2534,1888,H3A,999,77,944,antagScreen,1.00E-06,3.00E-05
3,D14,2590,1870,H3A,999,77,1258,antagScreen,1.00E-06,3.00E-05
3,E14,2492,1715,H3A,999,77,945,antagScreen,1.00E-06,3.00E-05
3,F14,2589,1662,H3A,999,77,1259,antagScreen,1.00E-06,3.00E-05
3,G14,2440,1571,H3A,999,77,946,antagScreen,1.00E-06,3.00E-05
3,H14,2404,1530,H3A,999,77,1260,antagScreen,1.00E-06,3.00E-05
3,I14,2530,1391,H3A,999,77,947,antagScreen,1.00E-06,3.00E-05
3,J14,2659,1419,H3A,999,77,1261,antagScreen,1.00E-06,3.00E-05
3,K14,2316,1329,H3A,999,77,948,antagScreen,1.00E-06,3.00E-05
3,L14,2377,1319,H3A,999,77,1262,antagScreen,1.00E-06,3.00E-05
3,M14,2609,1409,H3A,999,77,949,antagScreen,1.00E-06,3.00E-05
3,N14,2456,1328,H3A,999,77,1263,antagScreen,1.00E-06,3.00E-05
3,O14,2424,1183,H3A,999,77,950,antagScreen,1.00E-06,3.00E-05
3,P14,2659,1277,H3A,999,77,1264,antagScreen,1.00E-06,3.00E-05
3,A15,4108,2449,H3A,999,77,,control,1.00E-06,
3,B15,3184,2025,H3A,999,77,1165,antagScreen,1.00E-06,3.00E-05
3,C15,2694,1883,H3A,999,77,850,antagScreen,1.00E-06,3.00E-05
3,D15,2515,1680,H3A,999,77,1166,antagScreen,1.00E-06,3.00E-05
3,E15,2613,1766,H3A,999,77,851,antagScreen,1.00E-06,3.00E-05
3,F15,2420,1729,H3A,999,77,1167,antagScreen,1.00E-06,3.00E-05
3,G15,2443,1661,H3A,999,77,852,antagScreen,1.00E-06,3.00E-05
3,H15,2452,1475,H3A,999,77,1168,antagScreen,1.00E-06,3.00E-05
3,I15,2105,1443,H3A,999,77,853,antagScreen,1.00E-06,3.00E-05
3,J15,2243,1318,H3A,999,77,1169,antagScreen,1.00E-06,3.00E-05
3,K15,2457,1362,H3A,999,77,854,antagScreen,1.00E-06,3.00E-05
3,L15,2576,1417,H3A,999,77,1170,antagScreen,1.00E-06,3.00E-05
3,M15,2583,1370,H3A,999,77,855,antagScreen,1.00E-06,3.00E-05
3,N15,2634,1275,H3A,999,77,1171,antagScreen,1.00E-06,3.00E-05
3,O15,3196,1350,H3A,999,77,856,antagScreen,1.00E-06,3.00E-05
3,P15,2432,1247,H3A,999,77,1172,antagScreen,1.00E-06,3.00E-05
3,A16,3730,2184,H3A,999,77,,control,1.00E-06,
3,B16,2967,2140,H3A,999,77,1265,antagScreen,1.00E-06,3.00E-05
3,C16,2891,2018,H3A,999,77,952,antagScreen,1.00E-06,3.00E-05
3,D16,2375,1563,H3A,999,77,1266,antagScreen,1.00E-06,3.00E-05
3,E16,2423,1641,H3A,999,77,953,antagScreen,1.00E-06,3.00E-05
3,F16,2651,1739,H3A,999,77,1267,antagScreen,1.00E-06,3.00E-05
3,G16,2304,1525,H3A,999,77,954,antagScreen,1.00E-06,3.00E-05
3,H16,2306,1474,H3A,999,77,1268,antagScreen,1.00E-06,3.00E-05
3,I16,2380,1444,H3A,999,77,955,antagScreen,1.00E-06,3.00E-05
3,J16,2347,1487,H3A,999,77,1269,antagScreen,1.00E-06,3.00E-05
3,K16,2663,1420,H3A,999,77,956,antagScreen,1.00E-06,3.00E-05
3,L16,2597,1270,H3A,999,77,1270,antagScreen,1.00E-06,3.00E-05
3,M16,2510,1271,H3A,999,77,957,antagScreen,1.00E-06,3.00E-05
3,N16,2509,1306,H3A,999,77,1271,antagScreen,1.00E-06,3.00E-05
3,O16,2250,1198,H3A,999,77,958,antagScreen,1.00E-06,3.00E-05
3,P16,2625,1198,H3A,999,77,1272,antagScreen,1.00E-06,3.00E-05
3,A17,3309,2335,H3A,999,77,,control,1.00E-06,
3,B17,2307,2014,H3A,999,77,1173,antagScreen,1.00E-06,3.00E-05
3,C17,2765,1942,H3A,999,77,858,antagScreen,1.00E-06,3.00E-05
3,D17,2168,1675,H3A,999,77,1174,antagScreen,1.00E-06,3.00E-05
3,E17,2323,1654,H3A,999,77,859,antagScreen,1.00E-06,3.00E-05
3,F17,2334,1703,H3A,999,77,1175,antagScreen,1.00E-06,3.00E-05
3,G17,2554,1501,H3A,999,77,860,antagScreen,1.00E-06,3.00E-05
3,H17,2134,1373,H3A,999,77,1176,antagScreen,1.00E-06,3.00E-05
3,I17,2329,1484,H3A,999,77,867,antagScreen,1.00E-06,3.00E-05
3,J17,2244,1353,H3A,999,77,1177,antagScreen,1.00E-06,3.00E-05
3,K17,2178,1300,H3A,999,77,868,antagScreen,1.00E-06,3.00E-05
3,L17,2463,1367,H3A,999,77,1178,antagScreen,1.00E-06,3.00E-05
3,M17,2349,1260,H3A,999,77,869,antagScreen,1.00E-06,3.00E-05
3,N17,2674,1239,H3A,999,77,1179,antagScreen,1.00E-06,3.00E-05
3,O17,2756,1417,H3A,999,77,870,antagScreen,1.00E-06,3.00E-05
3,P17,2522,1252,H3A,999,77,1180,antagScreen,1.00E-06,3.00E-05
3,A18,2931,2155,H3A,999,811,,control,1.00E-12,
3,B18,2831,2027,H3A,999,77,1273,antagScreen,1.00E-06,3.00E-05
3,C18,2615,1807,H3A,999,77,960,antagScreen,1.00E-06,3.00E-05
3,D18,2501,1695,H3A,999,77,1274,antagScreen,1.00E-06,3.00E-05
3,E18,2251,1665,H3A,999,77,961,antagScreen,1.00E-06,3.00E-05
3,F18,2211,1470,H3A,999,77,1275,antagScreen,1.00E-06,3.00E-05
3,G18,2389,1514,H3A,999,77,962,antagScreen,1.00E-06,3.00E-05
3,H18,2323,1662,H3A,999,77,1276,antagScreen,1.00E-06,3.00E-05
3,I18,2387,1577,H3A,999,77,963,antagScreen,1.00E-06,3.00E-05
3,J18,2235,1305,H3A,999,77,1277,antagScreen,1.00E-06,3.00E-05
3,K18,2423,1275,H3A,999,77,964,antagScreen,1.00E-06,3.00E-05
3,L18,2139,1230,H3A,999,77,1278,antagScreen,1.00E-06,3.00E-05
3,M18,2727,1215,H3A,999,77,965,antagScreen,1.00E-06,3.00E-05
3,N18,2428,1130,H3A,999,77,1279,antagScreen,1.00E-06,3.00E-05
3,O18,2408,1193,H3A,999,77,966,antagScreen,1.00E-06,3.00E-05
3,P18,1850,1036,H3A,999,77,1280,antagScreen,1.00E-06,3.00E-05
3,A19,292,2139,H3A,999,811,,control,1.00E-12,
3,B19,3081,2107,H3A,999,77,673,antagScreen,1.00E-06,3.00E-05
3,C19,2562,1934,H3A,999,77,482,antagScreen,1.00E-06,3.00E-05
3,D19,2601,1790,H3A,999,77,674,antagScreen,1.00E-06,3.00E-05
3,E19,2447,1639,H3A,999,77,483,antagScreen,1.00E-06,3.00E-05
3,F19,2167,1402,H3A,999,77,675,antagScreen,1.00E-06,3.00E-05
3,G19,2163,1440,H3A,999,77,484,antagScreen,1.00E-06,3.00E-05
3,H19,2150,1377,H3A,999,77,676,antagScreen,1.00E-06,3.00E-05
3,I19,2544,1401,H3A,999,77,485,antagScreen,1.00E-06,3.00E-05
3,J19,2224,1276,H3A,999,77,677,antagScreen,1.00E-06,3.00E-05
3,K19,2265,1339,H3A,999,77,486,antagScreen,1.00E-06,3.00E-05
3,L19,2708,1323,H3A,999,77,678,antagScreen,1.00E-06,3.00E-05
3,M19,2791,1404,H3A,999,77,487,antagScreen,1.00E-06,3.00E-05
3,N19,2491,1281,H3A,999,77,679,antagScreen,1.00E-06,3.00E-05
3,O19,2649,1153,H3A,999,77,488,antagScreen,1.00E-06,3.00E-05
3,P19,2299,1224,H3A,999,77,680,antagScreen,1.00E-06,3.00E-05
3,A20,260,2582,H3A,999,811,,control,1.00E-12,
3,B20,2808,1660,H3A,999,77,713,antagScreen,1.00E-06,3.00E-05
3,C20,2724,1873,H3A,999,77,522,antagScreen,1.00E-06,3.00E-05
3,D20,2502,1738,H3A,999,77,714,antagScreen,1.00E-06,3.00E-05
3,E20,2140,1679,H3A,999,77,523,antagScreen,1.00E-06,3.00E-05
3,F20,2161,1570,H3A,999,77,715,antagScreen,1.00E-06,3.00E-05
3,G20,2076,1524,H3A,999,77,524,antagScreen,1.00E-06,3.00E-05
3,H20,2113,1556,H3A,999,77,716,antagScreen,1.00E-06,3.00E-05
3,I20,2273,1444,H3A,999,77,525,antagScreen,1.00E-06,3.00E-05
3,J20,2223,1364,H3A,999,77,717,antagScreen,1.00E-06,3.00E-05
3,K20,2319,1244,H3A,999,77,526,antagScreen,1.00E-06,3.00E-05
3,L20,2157,1318,H3A,999,77,718,antagScreen,1.00E-06,3.00E-05
3,M20,2332,1124,H3A,999,77,527,antagScreen,1.00E-06,3.00E-05
3,N20,2309,1381,H3A,999,77,719,antagScreen,1.00E-06,3.00E-05
3,O20,2496,1193,H3A,999,77,528,antagScreen,1.00E-06,3.00E-05
3,P20,1980,1066,H3A,999,77,720,antagScreen,1.00E-06,3.00E-05
3,A21,300,2537,H3A,999,811,,control,1.00E-12,
3,B21,3445,1930,H3A,999,77,625,antagScreen,1.00E-06,3.00E-05
3,C21,2815,1905,H3A,999,77,434,antagScreen,1.00E-06,3.00E-05
3,D21,2738,1986,H3A,999,77,626,antagScreen,1.00E-06,3.00E-05
3,E21,2741,1773,H3A,999,77,435,antagScreen,1.00E-06,3.00E-05
3,F21,2289,1532,H3A,999,77,627,antagScreen,1.00E-06,3.00E-05
3,G21,2616,1785,H3A,999,77,436,antagScreen,1.00E-06,3.00E-05
3,H21,2474,1477,H3A,999,77,628,antagScreen,1.00E-06,3.00E-05
3,I21,2794,1611,H3A,999,77,437,antagScreen,1.00E-06,3.00E-05
3,J21,2222,1468,H3A,999,77,629,antagScreen,1.00E-06,3.00E-05
3,K21,2607,1348,H3A,999,77,438,antagScreen,1.00E-06,3.00E-05
3,L21,2684,1403,H3A,999,77,630,antagScreen,1.00E-06,3.00E-05
3,M21,2905,1397,H3A,999,77,439,antagScreen,1.00E-06,3.00E-05
3,N21,2818,1294,H3A,999,77,631,antagScreen,1.00E-06,3.00E-05
3,O21,2918,1281,H3A,999,77,440,antagScreen,1.00E-06,3.00E-05
3,P21,2696,1187,H3A,999,77,632,antagScreen,1.00E-06,3.00E-05
3,A22,273,2635,H3A,999,811,265,control,1.00E-12,3.00E-05
3,B22,3164,1901,H3A,999,77,721,antagScreen,1.00E-06,3.00E-05
3,C22,2392,1623,H3A,999,77,530,antagScreen,1.00E-06,3.00E-05
3,D22,2275,1762,H3A,999,77,722,antagScreen,1.00E-06,3.00E-05
3,E22,2372,1644,H3A,999,77,531,antagScreen,1.00E-06,3.00E-05
3,F22,2264,1710,H3A,999,77,723,antagScreen,1.00E-06,3.00E-05
3,G22,2502,1645,H3A,999,77,532,antagScreen,1.00E-06,3.00E-05
3,H22,2769,1664,H3A,999,77,724,antagScreen,1.00E-06,3.00E-05
3,I22,2413,1388,H3A,999,77,533,antagScreen,1.00E-06,3.00E-05
3,J22,2672,1525,H3A,999,77,725,antagScreen,1.00E-06,3.00E-05
3,K22,2333,1332,H3A,999,77,534,antagScreen,1.00E-06,3.00E-05
3,L22,2183,1323,H3A,999,77,726,antagScreen,1.00E-06,3.00E-05
3,M22,2375,1237,H3A,999,77,535,antagScreen,1.00E-06,3.00E-05
3,N22,2261,1268,H3A,999,77,727,antagScreen,1.00E-06,3.00E-05
