ExperimentKey,TransfectionDate,PlateNum,CloneKey,Odor1K,Odor2K,Odor3K,Odor4K,Odor5K,Odor1C,Odor2C,Odor3C,Odor4C,Odor5C,PlateLocation,LucData,RLData,Notes,384Location,LabNoteBook,TransfectionType,CellType
394749,26-Jan-17,1,999,77,0,,,,0.00,0,,,,K3,5567,1427,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394750,26-Jan-17,1,999,77,0,,,,0.00,0,,,,L3,4944,1205,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394751,26-Jan-17,1,999,77,0,,,,0.00,0,,,,M3,5605,1288,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394752,26-Jan-17,1,999,77,0,,,,0.00,0,,,,N3,5179,1264,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394753,26-Jan-17,1,999,77,0,,,,0.00,0,,,,O3,5392,1187,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394754,26-Jan-17,1,999,77,0,,,,0.00,0,,,,P3,5758,1263,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394755,26-Jan-17,1,999,77,0,,,,0.00,0,,,,A4,4138,2021,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394756,26-Jan-17,1,999,77,0,,,,0.00,0,,,,B4,4900,2044,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394757,26-Jan-17,1,999,77,0,,,,0.00,0,,,,C4,4091,1805,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394758,26-Jan-17,1,999,77,0,,,,0.00,0,,,,D4,4312,1729,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
