Receptor,SV40,CRE,Row,Column,masterMix,Plate,TMAConcentration,receptorType,Luc,RL,,,,
5,0.5,27.5,C,5,3,2,4.11523E-06,Rho,973,1159,,,,
5,0.5,27.5,D,5,3,2,1.23457E-05,Rho,941,1169,,,,
5,0.5,27.5,E,5,3,2,3.7037E-05,Rho,1014,1239,,,,
5,0.5,27.5,F,5,3,2,0.000111111,Rho,943,1148,,,,
5,0.5,27.5,G,5,3,2,0.000333333,Rho,948,1181,,,,
5,0.5,27.5,H,5,3,2,0.001,Rho,883,1413,,,,
5,0.5,27.5,A,6,3,2,0,Rho,870,1652,,,,
5,0.5,27.5,B,6,3,2,1.37174E-06,Rho,892,1355,,,,
5,0.5,27.5,C,6,3,2,4.11523E-06,Rho,869,1251,,,,
5,0.5,27.5,D,6,3,2,1.23457E-05,Rho,915,1058,,,,
5,0.5,27.5,E,6,3,2,3.7037E-05,Rho,1035,1219,,,,
5,0.5,27.5,F,6,3,2,0.000111111,Rho,938,960,,,,
5,0.5,27.5,G,6,3,2,0.000333333,Rho,1061,1278,,,,
5,0.5,27.5,H,6,3,2,0.001,Rho,918,1583,,,,
3.75,0.5,27.5,A,7,4,2,0,TAAR5,1180,2687,,,,
3.75,0.5,27.5,B,7,4,2,1.37174E-06,TAAR5,2162,2381,,,,
3.75,0.5,27.5,C,7,4,2,4.11523E-06,TAAR5,4145,2159,,,,
3.75,0.5,27.5,D,7,4,2,1.23457E-05,TAAR5,7018,2017,,,,
3.75,0.5,27.5,E,7,4,2,3.7037E-05,TAAR5,12658,1820,,,,
3.75,0.5,27.5,F,7,4,2,0.000111111,TAAR5,16099,1785,,,,
3.75,0.5,27.5,G,7,4,2,0.000333333,TAAR5,19492,1825,,,,
3.75,0.5,27.5,H,7,4,2,0.001,TAAR5,17944,2060,,,,
3.75,0.5,27.5,A,8,4,2,0,TAAR5,1184,2720,,,,
3.75,0.5,27.5,B,8,4,2,1.37174E-06,TAAR5,1854,2499,,,,
3.75,0.5,27.5,C,8,4,2,4.11523E-06,TAAR5,4346,2039,,,,
3.75,0.5,27.5,D,8,4,2,1.23457E-05,TAAR5,7056,2017,,,,
3.75,0.5,27.5,E,8,4,2,3.7037E-05,TAAR5,11791,1847,,,,
3.75,0.5,27.5,F,8,4,2,0.000111111,TAAR5,16332,2098,,,,
3.75,0.5,27.5,G,8,4,2,0.000333333,TAAR5,19921,1989,,,,
3.75,0.5,27.5,H,8,4,2,0.001,TAAR5,17959,2137,,,,
3.75,0.5,27.5,A,9,4,2,0,TAAR5,1181,2879,,,,
3.75,0.5,27.5,B,9,4,2,1.37174E-06,TAAR5,1981,2436,,,,
3.75,0.5,27.5,C,9,4,2,4.11523E-06,TAAR5,4093,2438,,,,
3.75,0.5,27.5,D,9,4,2,1.23457E-05,TAAR5,6084,2109,,,,
3.75,0.5,27.5,E,9,4,2,3.7037E-05,TAAR5,9996,1851,,,,
3.75,0.5,27.5,F,9,4,2,0.000111111,TAAR5,13774,1938,,,,
3.75,0.5,27.5,G,9,4,2,0.000333333,TAAR5,19998,2107,,,,
3.75,0.5,27.5,H,9,4,2,0.001,TAAR5,18649,2052,,,,
3.75,0.5,27.5,A,10,4,2,0,Rho,913,2581,,,,
3.75,0.5,27.5,B,10,4,2,1.37174E-06,Rho,1014,2479,,,,
3.75,0.5,27.5,C,10,4,2,4.11523E-06,Rho,983,2168,,,,
3.75,0.5,27.5,D,10,4,2,1.23457E-05,Rho,1007,2228,,,,
3.75,0.5,27.5,E,10,4,2,3.7037E-05,Rho,1068,2100,,,,
3.75,0.5,27.5,F,10,4,2,0.000111111,Rho,1026,2187,,,,
3.75,0.5,27.5,G,10,4,2,0.000333333,Rho,1054,2200,,,,
3.75,0.5,27.5,H,10,4,2,0.001,Rho,980,2391,,,,
3.75,0.5,27.5,A,11,4,2,0,Rho,861,2774,,,,
3.75,0.5,27.5,B,11,4,2,1.37174E-06,Rho,1023,2529,,,,
3.75,0.5,27.5,C,11,4,2,4.11523E-06,Rho,1003,2644,,,,
3.75,0.5,27.5,D,11,4,2,1.23457E-05,Rho,1075,2331,,,,
3.75,0.5,27.5,E,11,4,2,3.7037E-05,Rho,1080,2369,,,,
3.75,0.5,27.5,F,11,4,2,0.000111111,Rho,1026,2392,,,,
3.75,0.5,27.5,G,11,4,2,0.000333333,Rho,936,2500,,,,
3.75,0.5,27.5,H,11,4,2,0.001,Rho,866,2569,,,,
3.75,0.5,27.5,A,12,4,2,0,Rho,825,2733,,,,
3.75,0.5,27.5,B,12,4,2,1.37174E-06,Rho,869,2847,,,,
3.75,0.5,27.5,C,12,4,2,4.11523E-06,Rho,872,2797,,,,
3.75,0.5,27.5,D,12,4,2,1.23457E-05,Rho,933,2732,,,,
3.75,0.5,27.5,E,12,4,2,3.7037E-05,Rho,886,2567,,,,
3.75,0.5,27.5,F,12,4,2,0.000111111,Rho,882,2640,,,,
3.75,0.5,27.5,G,12,4,2,0.000333333,Rho,867,2450,,,,
3.75,0.5,27.5,H,12,4,2,0.001,Rho,802,2550,,,,
3.75,0.75,30,A,1,5,3,0,TAAR5,1446,3551,,,,
3.75,0.75,30,B,1,5,3,1.37174E-06,TAAR5,1915,3303,,,,
3.75,0.75,30,C,1,5,3,4.11523E-06,TAAR5,3677,3249,,,,
3.75,0.75,30,D,1,5,3,1.23457E-05,TAAR5,7799,2944,,,,
3.75,0.75,30,E,1,5,3,3.7037E-05,TAAR5,12161,3188,,,,
3.75,0.75,30,F,1,5,3,0.000111111,TAAR5,16606,2973,,,,
3.75,0.75,30,G,1,5,3,0.000333333,TAAR5,19114,3013,,,,
3.75,0.75,30,H,1,5,3,0.001,TAAR5,18363,2951,,,,
3.75,0.75,30,A,2,5,3,0,TAAR5,1498,3216,,,,
3.75,0.75,30,B,2,5,3,1.37174E-06,TAAR5,1989,2993,,,,
3.75,0.75,30,C,2,5,3,4.11523E-06,TAAR5,3535,2933,,,,
3.75,0.75,30,D,2,5,3,1.23457E-05,TAAR5,7581,2730,,,,
3.75,0.75,30,E,2,5,3,3.7037E-05,TAAR5,11330,2650,,,,
3.75,0.75,30,F,2,5,3,0.000111111,TAAR5,17420,2856,,,,
3.75,0.75,30,G,2,5,3,0.000333333,TAAR5,21511,2647,,,,
3.75,0.75,30,H,2,5,3,0.001,TAAR5,18422,2904,,,,
3.75,0.75,30,A,3,5,3,0,TAAR5,1378,3427,,,,
3.75,0.75,30,B,3,5,3,1.37174E-06,TAAR5,1882,3139,,,,
3.75,0.75,30,C,3,5,3,4.11523E-06,TAAR5,4017,2700,,,,
3.75,0.75,30,D,3,5,3,1.23457E-05,TAAR5,7295,2535,,,,
3.75,0.75,30,E,3,5,3,3.7037E-05,TAAR5,13053,2811,,,,
3.75,0.75,30,F,3,5,3,0.000111111,TAAR5,16173,2688,,,,
3.75,0.75,30,G,3,5,3,0.000333333,TAAR5,19294,2749,,,,
3.75,0.75,30,H,3,5,3,0.001,TAAR5,18567,2862,,,,
3.75,0.75,30,A,4,5,3,0,Rho,1058,3073,,,,
3.75,0.75,30,B,4,5,3,1.37174E-06,Rho,1054,2675,,,,
3.75,0.75,30,C,4,5,3,4.11523E-06,Rho,1036,2622,,,,
3.75,0.75,30,D,4,5,3,1.23457E-05,Rho,1049,2448,,,,
3.75,0.75,30,E,4,5,3,3.7037E-05,Rho,1226,2464,,,,
3.75,0.75,30,F,4,5,3,0.000111111,Rho,1162,2734,,,,
3.75,0.75,30,G,4,5,3,0.000333333,Rho,1124,2913,,,,
3.75,0.75,30,H,4,5,3,0.001,Rho,1032,3287,,,,
3.75,0.75,30,A,5,5,3,0,Rho,981,3095,,,,
3.75,0.75,30,B,5,5,3,1.37174E-06,Rho,1019,2916,,,,
3.75,0.75,30,C,5,5,3,4.11523E-06,Rho,1033,2525,,,,
3.75,0.75,30,D,5,5,3,1.23457E-05,Rho,1087,2257,,,,
3.75,0.75,30,E,5,5,3,3.7037E-05,Rho,1089,2391,,,,
3.75,0.75,30,F,5,5,3,0.000111111,Rho,1093,2598,,,,
3.75,0.75,30,G,5,5,3,0.000333333,Rho,1037,2710,,,,
3.75,0.75,30,H,5,5,3,0.001,Rho,1047,3000,,,,
3.75,0.75,30,A,6,5,3,0,Rho,1015,3068,,,,
3.75,0.75,30,B,6,5,3,1.37174E-06,Rho,1034,2721,,,,
3.75,0.75,30,C,6,5,3,4.11523E-06,Rho,1045,2495,,,,
3.75,0.75,30,D,6,5,3,1.23457E-05,Rho,1049,2419,,,,
3.75,0.75,30,E,6,5,3,3.7037E-05,Rho,1222,2055,,,,
3.75,0.75,30,F,6,5,3,0.000111111,Rho,1135,2438,,,,
3.75,0.75,30,G,6,5,3,0.000333333,Rho,1180,2433,,,,
3.75,0.75,30,H,6,5,3,0.001,Rho,1118,2924,,,,
5,0.75,30,A,7,6,3,0,TAAR5,1270,3083,,,,
5,0.75,30,B,7,6,3,1.37174E-06,TAAR5,1997,2852,,,,
5,0.75,30,C,7,6,3,4.11523E-06,TAAR5,3843,2429,,,,
5,0.75,30,D,7,6,3,1.23457E-05,TAAR5,7931,1906,,,,
5,0.75,30,E,7,6,3,3.7037E-05,TAAR5,11101,2219,,,,
5,0.75,30,F,7,6,3,0.000111111,TAAR5,15281,2216,,,,
5,0.75,30,G,7,6,3,0.000333333,TAAR5,17750,2223,,,,
5,0.75,30,H,7,6,3,0.001,TAAR5,16050,2525,,,,
5,0.75,30,A,8,6,3,0,TAAR5,1309,2788,,,,
5,0.75,30,B,8,6,3,1.37174E-06,TAAR5,1845,2671,,,,
5,0.75,30,C,8,6,3,4.11523E-06,TAAR5,4048,2364,,,,
5,0.75,30,D,8,6,3,1.23457E-05,TAAR5,7190,2229,,,,
5,0.75,30,E,8,6,3,3.7037E-05,TAAR5,10690,2382,,,,
5,0.75,30,F,8,6,3,0.000111111,TAAR5,13778,2235,,,,
5,0.75,30,G,8,6,3,0.000333333,TAAR5,15822,2467,,,,
5,0.75,30,H,8,6,3,0.001,TAAR5,16341,2725,,,,
5,0.75,30,A,9,6,3,0,TAAR5,1289,2896,,,,
5,0.75,30,B,9,6,3,1.37174E-06,TAAR5,1806,2804,,,,
5,0.75,30,C,9,6,3,4.11523E-06,TAAR5,4069,2412,,,,
5,0.75,30,D,9,6,3,1.23457E-05,TAAR5,6342,2275,,,,
5,0.75,30,E,9,6,3,3.7037E-05,TAAR5,9360,2278,,,,
5,0.75,30,F,9,6,3,0.000111111,TAAR5,11433,2173,,,,
5,0.75,30,G,9,6,3,0.000333333,TAAR5,14890,2220,,,,
5,0.75,30,H,9,6,3,0.001,TAAR5,15735,2620,,,,
5,0.75,30,A,10,6,3,0,Rho,900,3183,,,,
5,0.75,30,B,10,6,3,1.37174E-06,Rho,975,2894,,,,
5,0.75,30,C,10,6,3,4.11523E-06,Rho,960,2713,,,,
5,0.75,30,D,10,6,3,1.23457E-05,Rho,938,2490,,,,
5,0.75,30,E,10,6,3,3.7037E-05,Rho,986,2785,,,,
5,0.75,30,F,10,6,3,0.000111111,Rho,1006,2570,,,,
5,0.75,30,G,10,6,3,0.000333333,Rho,1059,2712,,,,
5,0.75,30,H,10,6,3,0.001,Rho,917,2853,,,,
5,0.75,30,A,11,6,3,0,Rho,901,3071,,,,
5,0.75,30,B,11,6,3,1.37174E-06,Rho,952,2813,,,,
5,0.75,30,C,11,6,3,4.11523E-06,Rho,851,2733,,,,
5,0.75,30,D,11,6,3,1.23457E-05,Rho,961,2912,,,,
5,0.75,30,E,11,6,3,3.7037E-05,Rho,855,2751,,,,
5,0.75,30,F,11,6,3,0.000111111,Rho,970,2924,,,,
5,0.75,30,G,11,6,3,0.000333333,Rho,910,2816,,,,
5,0.75,30,H,11,6,3,0.001,Rho,876,2891,,,,
5,0.75,30,A,12,6,3,0,Rho,848,3411,,,,
5,0.75,30,B,12,6,3,1.37174E-06,Rho,940,3367,,,,
5,0.75,30,C,12,6,3,4.11523E-06,Rho,931,3234,,,,
5,0.75,30,D,12,6,3,1.23457E-05,Rho,952,3199,,,,
5,0.75,30,E,12,6,3,3.7037E-05,Rho,909,3179,,,,
5,0.75,30,F,12,6,3,0.000111111,Rho,861,3084,,,,
5,0.75,30,G,12,6,3,0.000333333,Rho,868,3177,,,,
5,0.75,30,H,12,6,3,0.001,Rho,880,3389,,,,
3.75,1,27.5,A,1,7,4,0,TAAR5,1293,3423,,,,
3.75,1,27.5,B,1,7,4,1.37174E-06,TAAR5,2284,3460,,,,
3.75,1,27.5,C,1,7,4,4.11523E-06,TAAR5,4639,3241,,,,
3.75,1,27.5,D,1,7,4,1.23457E-05,TAAR5,8306,3361,,,,
